Component,Section,Field,English Text,Turkish Text,AYŞEN SUGGESTIONS
PricingInquiry,Form Field,Goals,Tell us about your goals (Optional),Hedefleriniz hakkında bize bilgi verin (İsteğe Bağlı),Hedeflerinizi Bizimle Paylaşın (isteğe bağlı)
PricingInquiry,Form Field,Goals Placeholder,Share any specific goals or questions...,Herhangi bir özel hedef veya sorunuzu paylaşın...,Özel hedeflerinizi veya sorularınızı yazın…
PricingInquiry,Form Button,Submit,Send Inquiry,Talebi Gönder,Talep Gönder
,,,,,
,,,,,
,,,,,
,,,,,
WhyItMatters,Section 1,Text 2,"You've tried controlling food. Pushing harder. Being disciplined. You understand detox, metabolism, balance. What's been missing isn't effort or knowledge.","Yemekleri kontrol etmeyi denediniz. Daha sıkı çalıştınız. Disiplinli oldunuz. Detoks, metabolizma, dengeyi anlıyorsunuz. Eksik olan çaba veya bilgi değil.","Yediklerinizi kontrol etmeyi de denediniz. Daha fazla zorlamayı da, disiplinli olmayı da. Detoksu, metabolizmayı, dengeyi biliyorsunuz. Eksik olan çaba ya da bilgi değildi."
,,,,,
,,,,,
WhyItMatters,Section 1,Text 5,The feeling that someone truly knows what your body needs — and is watching closely.,Birinin vücudunuzun neye ihtiyacı olduğunu gerçekten bildiği — ve yakından izlediği hissi.,Bedeninizin gerçekten neye ihtiyacı olduğunu bilen ve sizi yakından izleyen bir ekiple olma hissi.
WhyItMatters,Section 1,Text 6,That's where TheLifeCo begins.,İşte TheLifeCo burada başlar.,TheLifeCo tam da burada başlar.
WhyItMatters,Section 2,Title,We Know the Pattern — and How to Break It,Kalıbı Biliyoruz — ve Nasıl Kıracağımızı,Bu Döngüyü Biliyoruz — ve Nasıl Kırılacağını da
WhyItMatters,Section 2,Text 1,"We've guided tens of thousands of people through this moment — the hesitation, the hope, the sense that this time needs to be different.","On binlerce insanı bu an boyunca yönlendirdik — tereddüt, umut, bu sefer farklı olması gerektiği hissi.","On binlerce kişiye, tereddütle umut arasında gidip gelinen ve “bu kez farklı olmalı” duygusunun hissedildiği bu yol ayrımında rehberlik ettik."
WhyItMatters,Section 2,Text 2,"Our programs are shaped by that experience: medically informed, continuously observed, and adjusted as your body responds. You are never asked to push through uncertainty alone.","Programlarımız bu deneyimle şekillenir: tıbbi bilgiye dayalı, sürekli gözlemlenen ve vücudunuz yanıt verdiğinde ayarlanan. Belirsizlikten tek başınıza geçmeniz asla istenmez.","Programlarımız bu deneyimle şekillenir: tıbbi temelli, sürekli gözlemlenen ve bedeninizin verdiği yanıta göre ayarlanan. Belirsizlikle tek başınıza mücadele etmeniz beklenmez"
WhyItMatters,Section 3,Title,This Is Where You Let Go — Safely,Burada Bırakırsınız — Güvenle,Burada Yüklerinizi Güvenle Bırakırsınız
,,,,,
WhyItMatters,Section 3,Text 2,"Nourishment replaces restriction. Observation replaces guesswork. Balance replaces control. And in that space, change begins to happen — often more naturally than expected.","Beslenme kısıtlamanın yerini alır. Gözlem tahminin yerini alır. Denge kontrolün yerini alır. Ve o alanda, değişim başlamaya başlar — genellikle beklenenden daha doğal bir şekilde.","Kısıtlamanın yerini beslenme alır. Tahminlerin yerini gözlem. Kontrolün yerini denge.
Ve bu alanda değişim — çoğu zaman beklenenden çok daha doğal biçimde — başlar."
,,,,,
WhyItMatters,Section 4,Text 1,Choosing TheLifeCo is a considered step — one that allows you to stop managing everything on your own.,"TheLifeCo'yu seçmek, düşünülmüş bir adımdır — her şeyi kendi başınıza yönetmeyi bırakmanıza izin veren bir adım.","TheLifeCo’yu seçmek, her şeyi tek başınıza yönetmeyi bırakmanıza izin veren bilinçli bir adımdır."
WhyItMatters,Section 4,Text 2,"You are guided, supported, and observed throughout your stay, with every element adapted as your body responds.","Konaklamanız boyunca yönlendirilir, desteklenir ve gözlemlenirsiniz, vücudunuz yanıt verdiğinde her öğe uyarlanır.","Konaklamanız boyunca yönlendirilir, desteklenir ve gözlemlenirsiniz; bedeninizin verdiği yanıta göre her unsur uyarlanır."
WhyItMatters,Section 4,Text 3,You don't need another strategy.,Başka bir stratejiye ihtiyacınız yok.,Yeni bir stratejiye daha ihtiyacınız yok.
WhyItMatters,Section 4,Text 4,You need a place where your body can finally respond.,Vücudunuzun nihayet yanıt verebileceği bir yere ihtiyacınız var.,Bedeninizin nihayet yanıt verebileceği bir yere ihtiyacınız var.
,,,,,
WhyItMatters,CTA Description,Text,Join thousands who have transformed their lives through our personalised wellness programs,Kişiselleştirilmiş wellness programlarımız aracılığıyla hayatlarını dönüştüren binlere katılın,Kişiye özel wellness programlarımızla hayatını dönüştüren binlerce kişiye katılın.
,,,,,
,,,,,
,,,,,
,,,,,
ProgramJourney,Section Title,Heading,The Journey Explained,Yolculuk Açıklaması,Yolculuk Nasıl İlerler
ProgramJourney,Section Description,Text,"From the moment you arrive to your departure, every phase of your stay is thoughtfully designed to support transformation.","Varışınızdan ayrılışınıza kadar, konaklamanızın her aşaması dönüşümü desteklemek için düşünceli bir şekilde tasarlanmıştır.","Varış anınızdan ayrılışınıza kadar, konaklamanızın her aşaması dönüşümü desteklemek üzere özenle tasarlanmıştır."
,,,,,
,,,,,
ProgramJourney,Phase 1,Item 1,Medical check-in and full health assessment,Tıbbi check-in ve tam sağlık değerlendirmesi,Tıbbi kayıt ve kapsamlı sağlık değerlendirmesi
,,,,,
ProgramJourney,Phase 1,Item 3,Medical consultation and optional advanced diagnostics,Tıbbi konsültasyon ve isteğe bağlı gelişmiş tanılar,Tıbbi konsültasyon ve isteğe bağlı ileri tanı testleri
ProgramJourney,Phase 1,Item 4,Wellness coach consultation and program personalisation,Wellness koç konsültasyonu ve program kişiselleştirmesi,Wellness koçu görüşmesi ve programın kişiselleştirilmesi
ProgramJourney,Phase 1,Item 5,"Selection of nutrition plan, therapies, and treatments","Beslenme planı, terapiler ve tedavilerin seçimi","Beslenme planı, terapiler ve uygulamaların seçimi"
ProgramJourney,Phase 1,Closing,"Your body is assessed, not assumed. Everything begins with precision.","Vücudunuz varsayılmaz, değerlendirilir. Her şey hassasiyetle başlar.","Bedeniniz varsayımlarla değil, ölçümlerle değerlendirilir. Her şey hassasiyetle başlar."
,,,,,
ProgramJourney,Phase 2,Subtitle,Allowing the body to adjust,Vücudun ayarlanmasına izin verme,Bedenin uyumlanmasına izin vermek
ProgramJourney,Phase 2,Item 1,Gentle detoxification begins,Nazik detoksifikasyon başlar,Detoks sürecinin nazikçe başlaması
ProgramJourney,Phase 2,Item 2,Nervous system regulation and stress reduction,Sinir sistemi düzenlemesi ve stres azaltma,Sinir sisteminin düzenlenmesi ve stresin azalması
ProgramJourney,Phase 2,Item 3,Initial metabolic adjustment,İlk metabolik ayarlama,İlk metabolik adaptasyon
,,,,,
,,,,,
ProgramJourney,Phase 2,Closing,"This phase is about safety, support, and letting the body settle into a new rhythm.","Bu aşama güvenlik, destek ve vücudun yeni bir ritme yerleşmesiyle ilgilidir.","Bu aşama; güvenlik, destek ve bedenin yeni bir ritimle tanışmasıyla ilgilidir."
,,,,,
ProgramJourney,Phase 3,Subtitle,Where visible change often begins,Görünür değişimin genellikle başladığı yer,Gözle görülür değişimin sıkça başladığı dönem
ProgramJourney,Phase 3,Item 1,Increased metabolic efficiency,Artırılmış metabolik verimlilik,Artan metabolik verimlilik
ProgramJourney,Phase 3,Item 2,Enhanced fat utilisation,Geliştirilmiş yağ kullanımı,Gelişmiş yağ kullanım kapasitesi
ProgramJourney,Phase 3,Item 3,Deeper detoxification response,Daha derin detoksifikasyon yanıtı,Daha derin detoks modu
,,,,,
ProgramJourney,Phase 3,Item 5,Many guests begin to notice clearer energy and early weight changes,Birçok misafir daha net enerji ve erken kilo değişikliklerini fark etmeye başlar,Birçok misafir enerjisinin artığını ve kilo değişimlerini fark etmeye başlar
ProgramJourney,Phase 3,Closing,"For many, this is where motivation returns — naturally.","Birçokları için, motivasyonun geri döndüğü yer burasıdır — doğal olarak.",Çoğu kişi için motivasyon burada — kendiliğinden — geri döner
,,,,,
ProgramJourney,Phase 4,Subtitle,Strengthening results (for longer stays),Sonuçları güçlendirme (daha uzun konaklamalar için),Sonuçların pekişmesi (daha uzun konaklamalar için)
ProgramJourney,Phase 4,Item 1,Continued fat loss support,Devam eden yağ kaybı desteği,Süregelen yağ kaybı
ProgramJourney,Phase 4,Item 2,Stabilisation of blood sugar and appetite signals,Kan şekeri ve iştah sinyallerinin stabilizasyonu,Kan şekeri ve iştah sinyallerinin dengelenmesi
ProgramJourney,Phase 4,Item 3,Mental clarity and emotional balance deepen,Zihinsel netlik ve duygusal denge derinleşir,Zihinsel berraklık ve duygusal denge derinleşir
ProgramJourney,Phase 4,Item 4,Body adapts to sustainable patterns rather than short-term fixes,Vücut kısa vadeli çözümler yerine sürdürülebilir kalıplara uyum sağlar,"Beden, kısa vadeli çözümler yerine sürdürülebilir kalıplara uyum sağlar"
ProgramJourney,Phase 4,Closing,"Weight loss becomes a response, not a struggle.","Kilo kaybı bir mücadele değil, bir yanıt haline gelir.","Kilo kaybı bir mücadele değil, doğal bir yanıt hâline gelir."
,,,,,
,,,,,
ProgramJourney,Phase 5,Item 1,Follow-up body composition and blood analysis,Takip vücut kompozisyonu ve kan analizi,Çıkış öncesi vücut kompozisyonu ve kan analizi
,,,,,
,,,,,
ProgramJourney,Phase 5,Item 4,Lifestyle Companion App registration,Yaşam Tarzı Arkadaşı Uygulaması kaydı,Yaşam Tarzı Arkadaşı Uygulaması kaydı
,,,,,
,,,,,
ProgramJourney,Bottom Text,Text,"This is not a schedule — it's a guided physiological journey, supported at every stage.",Bu bir program değil — her aşamada desteklenen rehberli bir fizyolojik yolculuktur.,"Bu bir takvim değil — her aşaması desteklenen, rehberli bir fizyolojik yolculuktur."
,,,,,
HealingJourney,Section Description 1,Text,Personalised care shaped by clinical insight and continuously refined through observation.,Klinik içgörüyle şekillendirilmiş ve gözlem yoluyla sürekli rafine edilmiş kişiselleştirilmiş bakım.,Klinik içgörüyle şekillenen ve gözlemle sürekli geliştirilen kişiselleştirilmiş bakım.
HealingJourney,Section Description 2,Text,"Each layer of TheLifeCo Healing Journey serves a clear purpose. Together, they create the conditions your body needs to restore balance — safely, progressively, and in a way that lasts.","TheLifeCo İyileşme Yolculuğunun her katmanı net bir amaca hizmet eder. Birlikte, vücudunuzun dengeyi geri kazandırmak için ihtiyaç duyduğu koşulları yaratırlar — güvenli, ilerleyici ve kalıcı bir şekilde.","TheLifeCo İyileşme Yolculuğu’nun her katmanı net bir amaca hizmet eder. Birlikte, bedeninizin dengeyi güvenle, kademeli olarak ve kalıcı biçimde yeniden kurması için gerekli koşulları yaratırlar."
HealingJourney,Layer 1,Title,Environment That Allows the Body to Exhale,Vücudun Nefes Almasına İzin Veren Ortam,Bedenin Nefes Almasına İzin Veren Bir Ortam
HealingJourney,Layer 1,Subtitle,Relaxation & Supportive Setting,Rahatlama ve Destekleyici Ortam,Rahatlatıcı & Destekleyici Ortam
HealingJourney,Layer 1,Description,"Your surroundings are not incidental. A calm, restorative environment helps reduce stress and regulate the nervous system — an essential foundation for metabolic health and natural weight regulation.","Çevreniz tesadüfi değildir. Sakin, onarıcı bir ortam stresi azaltmaya ve sinir sistemini düzenlemeye yardımcı olur — metabolik sağlık ve doğal kilo düzenlemesi için temel bir temel.","Bulunduğunuz ortam tesadüf değildir. Sakinleştirici ve onarıcı bir çevre, stresin azalmasına ve sinir sisteminin düzenlenmesine yardımcı olur — bu da metabolik sağlık ve doğal kilo dengesi için temel oluşturur."
HealingJourney,Layer 1,Closing,"Here, your body is given permission to slow down before it is asked to change.","Burada, vücudunuzdan değişmesi istenmeden önce yavaşlamasına izin verilir.",Burada bedeninizden değişmesi istenmeden önce yavaşlamasına ve huzur bulmasına izin verilir.
HealingJourney,Layer 2,Title,A Program Designed Around You,Sizin Etrafınızda Tasarlanmış Bir Program,Size Göre Tasarlanmış Bir Program
HealingJourney,Layer 2,Subtitle,Personalised Wellness Program,Kişiselleştirilmiş Wellness Programı,Kişiye Özel Wellness Programı
HealingJourney,Layer 2,Description,"Your program is shaped by a personal health assessment and refined throughout your stay. Nutrition, therapies, and daily structure are continuously adapted based on how your body responds.","Programınız kişisel bir sağlık değerlendirmesiyle şekillenir ve konaklamanız boyunca rafine edilir. Beslenme, terapiler ve günlük yapı, vücudunuzun nasıl yanıt verdiğine göre sürekli uyarlanır.",Programınız kişisel sağlık değerlendirmesine göre şekillenir ve konaklamanız boyunca bedeninizin verdiği yanıta göre sürekli güncellenir.
HealingJourney,Layer 2,Closing,"Weight reduction is supported alongside metabolic balance — without compromising strength, energy, or vitality.","Kilo azaltma, güç, enerji veya canlılıktan ödün vermeden metabolik dengeyle birlikte desteklenir.","Kilo azaltımı; güç, enerji ve canlılıktan ödün vermeden, metabolik dengeyle birlikte desteklenir."
,,,,,
,,,,,
HealingJourney,Layer 3,Description,"Weight is influenced not only by physiology, but by stress, emotional patterns, and daily habits. Mindfulness practices and mental resilience support help you develop awareness and consistency, allowing calmer and more sustainable choices to emerge.","Kilo sadece fizyolojiden değil, stresten, duygusal kalıplardan ve günlük alışkanlıklardan etkilenir. Farkındalık uygulamaları ve zihinsel dayanıklılık desteği, farkındalık ve tutarlılık geliştirmenize yardımcı olur, daha sakin ve sürdürülebilir seçimlerin ortaya çıkmasına izin verir.","Kilo yalnızca fizyolojiyle değil; stres, duygusal kalıplar ve günlük alışkanlıklarla da ilişkilidir. Farkındalık uygulamaları ve zihinsel dayanıklılık desteği, daha sakin ve sürdürülebilir seçimlerin ortaya çıkmasına yardımcı olur."
HealingJourney,Layer 4,Title,Integrative Medicine & Targeted Therapies,Bütünleştirici Tıp ve Hedefli Terapiler,Bütüncül Tıp & Hedefli Terapiler
,,,,,
HealingJourney,Layer 4,Description,"Therapies are selected to support detoxification, circulation, recovery, and metabolic efficiency. These interventions work alongside nutritional and lifestyle adjustments, enhancing the body's ability to respond without force.","Terapiler detoksifikasyon, dolaşım, iyileşme ve metabolik verimliliği desteklemek için seçilir. Bu müdahaleler beslenme ve yaşam tarzı ayarlamalarıyla birlikte çalışır, vücudun zorlamadan yanıt verme yeteneğini artırır.","Terapiler; detoksifikasyonu, dolaşımı, toparlanmayı ve metabolik verimliliği desteklemek üzere seçilir. Beslenme ve yaşam tarzı düzenlemeleriyle birlikte çalışarak, bedenin zorlanmadan yanıt verme kapasitesini artırır."
HealingJourney,Layer 5,Title,A Partnership That Lasts Beyond the Retreat,Retreat'ten Sonra Devam Eden Bir Ortaklık,Retreat Sonrasında da Süren Bir Ortaklık
HealingJourney,Layer 5,Subtitle,Practices & Learnings to Take Home,Eve Götürülecek Uygulamalar ve Öğrenmeler,Eve Taşınan Uygulamalar & Öğrenimler
HealingJourney,Layer 5,Description,"Education is an essential part of the journey. You leave with practical guidance and a personal toolbox of skills and practices you can apply in daily life — supported by an ongoing partnership that continues beyond your stay, enabling long-term balance in weight, blood sugar, and everyday habits once you return home.","Eğitim yolculuğun önemli bir parçasıdır. Günlük yaşamda uygulayabileceğiniz pratik rehberlik ve kişisel bir beceri ve uygulama araç kutusuyla ayrılırsınız — konaklamanızdan sonra devam eden, eve döndüğünüzde kilo, kan şekeri ve günlük alışkanlıklarda uzun vadeli dengeyi sağlayan sürekli bir ortaklıkla desteklenir.","Farkındalık ve eğitim yolculuğun temel bir parçasıdır. Merkezlimizden günlük hayatta uygulayabileceğiniz pratik rehberlik ve kişisel bir beceri ve uygulama araç setiyle ayrılırsınız — konaklamanızdan sonra da devam eden bir destekle, kilo, kan şekeri ve günlük alışkanlıklarda uzun vadeli dengeyi sürdürmeniz sağlanır."
HealingJourney,Layer 6,Title,Restoration That Completes the Process,Süreci Tamamlayan Restorasyon,Süreci Tamamlayan Yenilenme
,,,,,
HealingJourney,Layer 6,Description,"Restorative treatments and spa experiences support physical recovery and deep relaxation. This final layer reinforces the body's capacity to reset, integrate change, and respond positively over time.","Onarıcı tedaviler ve spa deneyimleri fiziksel iyileşmeyi ve derin rahatlamayı destekler. Bu son katman, vücudun sıfırlama, değişimi entegre etme ve zamanla olumlu yanıt verme kapasitesini güçlendirir.","Onarıcı bakımlar ve spa deneyimleri, fiziksel toparlanmayı ve derin gevşemeyi destekler. Bu son katman, bedenin sıfırlanma, değişimi entegre etme ve zaman içinde olumlu yanıt verme kapasitesini güçlendirir."
GuestExperience,Section Title,Heading,What Guests Commonly Experience,Misafirlerin Genellikle Yaşadıkları,Misafirlerin En Sık Deneyimledikleri
GuestExperience,Item 1,Text,"Balanced weight reduction, achieved in a healthy way and time period",Sağlıklı bir şekilde ve zaman diliminde elde edilen dengeli kilo azaltma,Sağlıklı ve dengeli kilo kaybı
GuestExperience,Item 2,Text,"Elevated metabolic balance, often accompanied by better energy and vitality",Genellikle daha iyi enerji ve canlılıkla birlikte gelen yükseltilmiş metabolik denge,Gelişmiş metabolik dengeyle beraber artan enerji ve canlılık
GuestExperience,Item 3,Text,Preservation of balanced diet that is recognized for its value,Değeri tanınan dengeli bir diyetin korunması,Dengeli beslenme alışkanlıklarının öneminin anlaşılması ve korunması
GuestExperience,Item 4,Text,A psychological boost that comes as a reward for success,Başarının ödülü olarak gelen psikolojik destek,Başarıyla gelen psikolojik güçlenme
GuestExperience,Item 5,Text,Digestive and gastronomic rest while receiving nutrition,Beslenme alırken sindirim ve gastronomik dinlenme,Sindirim ve mide-bağırsak sisteminin dinlenmesi (besin değeri yüksek ve destekleyici bir beslenme eşliğinde)
GuestExperience,Item 6,Text,Reduced inflammation and improved cellular health,Azaltılmış iltihaplanma ve iyileştirilmiş hücresel sağlık,Azalan inflamasyon ve gelişen hücresel sağlık
GuestExperience,Item 7,Text,Better sleep quality and mental clarity,Daha iyi uyku kalitesi ve zihinsel netlik,Daha iyi uyku kalitesi ve zihinsel berraklık
GuestExperience,Item 8,Text,Strengthened immune system function,Güçlendirilmiş bağışıklık sistemi işlevi,Güçlenen bağışıklık sistemi fonksiyonu
GuestExperience,Footer Note,Text,Results may vary depending on individual health circumstances and program selection,Sonuçlar bireysel sağlık durumlarına ve program seçimine bağlı olarak değişebilir,"Sonuçlar, bireysel sağlık durumu ve seçilen programa göre değişiklik gösterebilir."
,,,,,
,,,,,
,,,,,
,,,,,
