Component,Section,Field,English Text,Arabic Text,Translator Notes
WhatsIncluded,Category 1,Description,"A supportive retreat environment combined with personalised nourishment designed to restore balance.","بيئة استجمام داعمة مجتمعة مع تغذية مخصصة مصممة لاستعادة التوازن.",
WhatsIncluded,Category 1,Item 1,"Accommodation in our retreat resorts (double rooms)","الإقامة في منتجعات الاستجمام لدينا (غرف مزدوجة)",
WhatsIncluded,Category 1,Item 2,"Personalised nutrition plan including all meals and required supplements","خطة تغذية مخصصة تشمل جميع الوجبات والمكملات المطلوبة",
WhatsIncluded,Category 1,Item 3,"Nutritional pathways may include Master Detox, Green Juice, Raw Food, Ketogenic, Water Fasting, or Intermittent Fasting","قد تشمل مسارات التغذية Master Detox، عصير أخضر، طعام نيء، كيتو، صيام الماء، أو الصيام المتقطع",
WhatsIncluded,Category 1,Item 4,"All nutrition is selected based on individual medical and wellness assessment","يتم اختيار جميع التغذية بناءً على التقييم الطبي والرفاهية الفردي",
WhatsIncluded,Category 2,Title,"Wellness Services and Mental Support for Weight Management","خدمات الرفاهية والدعم النفسي لإدارة الوزن",
WhatsIncluded,Category 2,Description,"Daily expert guidance and core wellness therapies that support sustainable change.","إرشاد خبير يومي وعلاجات الرفاهية الأساسية التي تدعم التغيير المستدام.",
WhatsIncluded,Category 2,Item 1,"Daily wellness coaching with dietitians and psychologists","تدريب الرفاهية اليومي مع أخصائيي التغذية وعلماء النفس",
WhatsIncluded,Category 2,Item 2,"Coping with Emotional Eating Session (x2)","جلسة التعامل مع الأكل العاطفي (×2)",
WhatsIncluded,Category 2,Item 3,"Body composition analysis (2×)","تحليل تكوين الجسم (×2)",
WhatsIncluded,Category 2,Item 4,"Infrared sauna and steam room access (daily)","الوصول إلى الساونا بالأشعة تحت الحمراء وغرفة البخار (يوميًا)",
WhatsIncluded,Category 2,Item 5,"Colon cleansing (self-administered, daily)","تنظيف القولون (ذاتي الإدارة، يوميًا)",
WhatsIncluded,Category 2,Item 6,"Unlimited detox soup and herbal teas","حساء التخلص من السموم والشاي العشبي غير محدود",
WhatsIncluded,Category 3,Title,"Bio-Hacking Technologies (Daily)","تقنيات Bio-Hacking (يوميًا)",
WhatsIncluded,Category 3,Description,"Advanced technologies supporting detoxification, recovery, and metabolic efficiency.","تقنيات متقدمة تدعم إزالة السموم والشفاء وكفاءة التمثيل الغذائي.",
WhatsIncluded,Category 3,Item 1,"Turbosonic vibration therapy","علاج الاهتزاز Turbosonic",
WhatsIncluded,Category 3,Item 2,"BioCharger energy therapy","علاج الطاقة BioCharger",
WhatsIncluded,Category 3,Item 3,"BioPhoton therapy","علاج BioPhoton",
WhatsIncluded,Category 3,Item 4,"Oxygen therapy","علاج الأكسجين",
WhatsIncluded,Category 3,Item 5,"Luminette light therapy","علاج الضوء Luminette",
WhatsIncluded,Category 3,Item 6,"Inversion table therapy","علاج طاولة الانقلاب",
WhatsIncluded,Category 4,Title,"Medical Services","الخدمات الطبية",
WhatsIncluded,Category 4,Description,"Continuous medical oversight ensuring safety, precision, and confidence throughout your stay.","الإشراف الطبي المستمر الذي يضمن السلامة والدقة والثقة طوال إقامتك.",
WhatsIncluded,Category 4,Item 1,"Medical consultations (2×)","الاستشارات الطبية (×2)",
WhatsIncluded,Category 4,Item 2,"Fully equipped on-site medical clinic","عيادة طبية مجهزة بالكامل في الموقع",
WhatsIncluded,Category 4,Item 3,"Dedicated medical team of doctors and nurses","فريق طبي مخصص من الأطباء والممرضات",
WhatsIncluded,Category 4,Item 4,"Medical support available 24/7","الدعم الطبي متاح 24/7",
WhatsIncluded,Category 4,Item 5,"Partnered emergency hospital","مستشفى طوارئ شريك",
WhatsIncluded,Category 5,Title,"Cutting-Edge Metabolic Therapies","علاجات التمثيل الغذائي المتطورة",
WhatsIncluded,Category 5,Description,"Targeted interventions designed to enhance fat metabolism and physical resilience.","تدخلات مستهدفة مصممة لتعزيز التمثيل الغذائي للدهون والمرونة البدنية.",
WhatsIncluded,Category 5,Item 1,"CAR.O.L bike sessions (2×)","جلسات دراجة CAR.O.L (×2)",
WhatsIncluded,Category 5,Item 2,"Robolex therapy (30 minutes × 2)","علاج Robolex (30 دقيقة × 2)",
WhatsIncluded,Category 5,Item 3,"Cold plunge sessions (2×)","جلسات الغطس البارد (×2)",
WhatsIncluded,Category 5,Item 4,"Pressotherapy lymphatic drainage (1×)","تصريف اللمفاوي بالضغط (×1)",
WhatsIncluded,Category 5,Item 5,"Red light bed therapy or alternative metabolic therapy","علاج سرير الضوء الأحمر أو علاج التمثيل الغذائي البديل",
WhatsIncluded,Category 6,Title,"Daily Activities","الأنشطة اليومية",
WhatsIncluded,Category 6,Description,"A structured rhythm of movement, education, and recovery to support long-term wellbeing.","إيقاع منظم للحركة والتعليم والشفاء لدعم الرفاهية طويلة المدى.",
WhatsIncluded,Category 6,Item 1,"Sunrise walks","مشي شروق الشمس",
WhatsIncluded,Category 6,Item 2,"Mobility and relaxation yoga","اليوجا للحركة والاسترخاء",
WhatsIncluded,Category 6,Item 3,"Meditation sessions","جلسات التأمل",
WhatsIncluded,Category 6,Item 4,"Functional training (3× per week)","التدريب الوظيفي (3× في الأسبوع)",
WhatsIncluded,Category 6,Item 5,"Educational wellness talks","محاضرات الرفاهية التعليمية",
WhatsIncluded,Category 6,Item 6,"Evening relaxation activities","أنشطة الاسترخاء المسائية",
WhatsIncluded,Bottom Message,Text,"Accommodation is included — but what you're joining is far more than a stay. It's a fully guided, multi-layered program where every element is included and coordinated for you.","الإقامة مدرجة — لكن ما تنضم إليه هو أكثر بكثير من إقامة. إنه برنامج موجه بالكامل متعدد الطبقات حيث يتم تضمين كل عنصر وتنسيقه من أجلك.",
PricingInquiry,Program Title,Heading,"Weight Loss Program","برنامج فقدان الوزن",
PricingInquiry,Price Label,Starting From,"Starting from","بدءًا من",
PricingInquiry,Price Note,Per Night,"per night, all inclusive","لليلة الواحدة، شامل كل شيء",
PricingInquiry,Stay Info,Minimum Stay,"Minimum stay 4 days, recommended 7+ days","الحد الأدنى للإقامة 4 أيام، يُنصح بـ 7+ أيام",
PricingInquiry,Description 1,Text,"Includes accommodation, personalised program design, meals, therapies, activities, and on-site support.","يشمل الإقامة وتصميم البرنامج المخصص والوجبات والعلاجات والأنشطة والدعم في الموقع.",
PricingInquiry,Description 2,Text,"This fully inclusive offer reflects a medically informed, multi-layered program designed to support weight loss alongside whole-body health.","يعكس هذا العرض الشامل بالكامل برنامجًا متعدد الطبقات مستندًا إلى معلومات طبية مصمم لدعم فقدان الوزن إلى جانب صحة الجسم كله.",
PricingInquiry,Note Label,Please Note,"Please note:","يرجى ملاحظة:",
PricingInquiry,Note Text,Text,"The provided price is for our Bodrum retreat. Other centers may have lower or higher program pricing based on availability.","السعر المقدم هو لبرنامج الاستجمام في بودروم. قد يكون لدى المراكز الأخرى أسعار برامج أقل أو أعلى بناءً على التوفر.",
PricingInquiry,Longer Programs,Text,"Longer program durations and enhanced program depth are available following consultation.","مدد البرنامج الأطول وعمق البرنامج المحسن متاحة بعد الاستشارة.",
PricingInquiry,Form Title,Heading,"Talk to an Expert","تحدث مع خبير",
PricingInquiry,Form Description,Text,"Get personalised guidance from our experts.","احصل على إرشاد مخصص من خبرائنا.",
PricingInquiry,Form Field,First Name,"First Name","الاسم الأول",
PricingInquiry,Form Field,Last Name,"Last Name","اسم العائلة",
PricingInquiry,Form Field,Email,"Email Address","عنوان البريد الإلكتروني",
PricingInquiry,Form Field,Phone,"Phone Number (Optional)","رقم الهاتف (اختياري)",
PricingInquiry,Form Field,Phone Placeholder,"Phone number","رقم الهاتف",
PricingInquiry,Form Field,Goals,"Tell us about your goals (Optional)","أخبرنا عن أهدافك (اختياري)",
PricingInquiry,Form Field,Goals Placeholder,"Share any specific goals or questions...","شارك أي أهداف أو أسئلة محددة...",
PricingInquiry,Form Button,Submit,"Send Inquiry","إرسال الاستفسار",
PricingInquiry,Form Alternative,Call Text,"Or call us directly:","أو اتصل بنا مباشرة:",
WhyItMatters,Section Title,Heading,"Where Lasting Change Begins","حيث يبدأ التغيير الدائم",
WhyItMatters,Section 1,Title,"For those who know it's time for a different approach.","لأولئك الذين يعرفون أن الوقت قد حان لنهج مختلف.",
WhyItMatters,Section 1,Text 1,"You wouldn't be here if this were just about losing weight.","لن تكون هنا إذا كان هذا يتعلق فقط بفقدان الوزن.",
WhyItMatters,Section 1,Text 2,"You've tried controlling food. Pushing harder. Being disciplined. You understand detox, metabolism, balance. What's been missing isn't effort or knowledge.","لقد جربت التحكم في الطعام. الدفع بقوة أكبر. كونك منضبطًا. أنت تفهم إزالة السموم والتمثيل الغذائي والتوازن. ما كان مفقودًا ليس الجهد أو المعرفة.",
WhyItMatters,Section 1,Text 3,"It's the right environment.","إنه البيئة الصحيحة.",
WhyItMatters,Section 1,Text 4,"The right guidance.","الإرشاد الصحيح.",
WhyItMatters,Section 1,Text 5,"The feeling that someone truly knows what your body needs — and is watching closely.","الشعور بأن شخصًا ما يعرف حقًا ما يحتاجه جسمك — ويراقب عن كثب.",
WhyItMatters,Section 1,Text 6,"That's where TheLifeCo begins.","هذا هو المكان الذي يبدأ فيه TheLifeCo.",
WhyItMatters,Section 2,Title,"We Know the Pattern — and How to Break It","نعرف النمط — وكيفية كسره",
WhyItMatters,Section 2,Text 1,"We've guided tens of thousands of people through this moment — the hesitation, the hope, the sense that this time needs to be different.","لقد أرشدنا عشرات الآلاف من الأشخاص خلال هذه اللحظة — التردد والأمل والشعور بأن هذه المرة يجب أن تكون مختلفة.",
WhyItMatters,Section 2,Text 2,"Our programs are shaped by that experience: medically informed, continuously observed, and adjusted as your body responds. You are never asked to push through uncertainty alone.","برامجنا تتشكل من خلال تلك التجربة: مستندة إلى معلومات طبية، ومراقبة باستمرار، ومعدلة مع استجابة جسمك. لا يُطلب منك أبدًا المضي قدمًا في عدم اليقين وحدك.",
WhyItMatters,Section 3,Title,"This Is Where You Let Go — Safely","هذا هو المكان الذي تترك فيه — بأمان",
WhyItMatters,Section 3,Text 1,"Here, weight loss is not forced. It is allowed.","هنا، فقدان الوزن لا يُفرض. يُسمح به.",
WhyItMatters,Section 3,Text 2,"Nourishment replaces restriction. Observation replaces guesswork. Balance replaces control. And in that space, change begins to happen — often more naturally than expected.","التغذية تحل محل القيود. المراقبة تحل محل التخمين. التوازن يحل محل التحكم. وفي تلك المساحة، يبدأ التغيير في الحدوث — غالبًا بشكل أكثر طبيعية مما هو متوقع.",
WhyItMatters,Section 4,Title,"An Invitation","دعوة",
WhyItMatters,Section 4,Text 1,"Choosing TheLifeCo is a considered step — one that allows you to stop managing everything on your own.","اختيار TheLifeCo هو خطوة مدروسة — خطوة تسمح لك بالتوقف عن إدارة كل شيء بنفسك.",
WhyItMatters,Section 4,Text 2,"You are guided, supported, and observed throughout your stay, with every element adapted as your body responds.","يتم إرشادك ودعمك ومراقبتك طوال إقامتك، مع تكييف كل عنصر مع استجابة جسمك.",
WhyItMatters,Section 4,Text 3,"You don't need another strategy.","لا تحتاج إلى استراتيجية أخرى.",
WhyItMatters,Section 4,Text 4,"You need a place where your body can finally respond.","تحتاج إلى مكان يمكن لجسمك أن يستجيب فيه أخيرًا.",
WhyItMatters,CTA Title,Heading,"Start Your Transformation","ابدأ تحولك",
WhyItMatters,CTA Description,Text,"Join thousands who have transformed their lives through our personalised wellness programs","انضم إلى الآلاف الذين حولوا حياتهم من خلال برامج الرفاهية المخصصة لدينا",
WhyItMatters,CTA Input,Placeholder,"Enter your email","أدخل بريدك الإلكتروني",
WhyItMatters,CTA Button,Text,"Get Started","ابدأ",
WhyItMatters,CTA Footer,Text,"Flexible programs from 4 days to extended stays • Start when you're ready","برامج مرنة من 4 أيام إلى إقامات ممتدة • ابدأ عندما تكون مستعدًا",
ProgramJourney,Section Label,Label,"YOUR PROGRAM JOURNEY","رحلة برنامجك",
ProgramJourney,Section Title,Heading,"The Journey Explained","الرحلة موضحة",
ProgramJourney,Section Description,Text,"From the moment you arrive to your departure, every phase of your stay is thoughtfully designed to support transformation.","من لحظة وصولك إلى مغادرتك، كل مرحلة من إقامتك مصممة بعناية لدعم التحول.",
ProgramJourney,Phase 1,Title,"Day 1 — Arrival & Assessment","اليوم 1 — الوصول والتقييم",
ProgramJourney,Phase 1,Subtitle,"Setting the foundation","وضع الأساس",
ProgramJourney,Phase 1,Item 1,"Medical check-in and full health assessment","تسجيل الوصول الطبي والتقييم الصحي الكامل",
ProgramJourney,Phase 1,Item 2,"Body composition analysis and live blood analysis","تحليل تكوين الجسم وتحليل الدم المباشر",
ProgramJourney,Phase 1,Item 3,"Medical consultation and optional advanced diagnostics","الاستشارة الطبية والتشخيصات المتقدمة الاختيارية",
ProgramJourney,Phase 1,Item 4,"Wellness coach consultation and program personalisation","استشارة مدرب الرفاهية وتخصيص البرنامج",
ProgramJourney,Phase 1,Item 5,"Selection of nutrition plan, therapies, and treatments","اختيار خطة التغذية والعلاجات والعلاجات",
ProgramJourney,Phase 1,Closing,"Your body is assessed, not assumed. Everything begins with precision.","يتم تقييم جسمك، وليس افتراضه. كل شيء يبدأ بالدقة.",
ProgramJourney,Phase 2,Title,"Days 2–3 — Adaptation Phase","الأيام 2-3 — مرحلة التكيف",
ProgramJourney,Phase 2,Subtitle,"Allowing the body to adjust","السماح للجسم بالتكيف",
ProgramJourney,Phase 2,Item 1,"Gentle detoxification begins","تبدأ إزالة السموم بلطف",
ProgramJourney,Phase 2,Item 2,"Nervous system regulation and stress reduction","تنظيم الجهاز العصبي وتقليل التوتر",
ProgramJourney,Phase 2,Item 3,"Initial metabolic adjustment","التعديل الأيضي الأولي",
ProgramJourney,Phase 2,Item 4,"Light movement, breathwork, and restorative therapies","الحركة الخفيفة وعمل التنفس والعلاجات التصالحية",
ProgramJourney,Phase 2,Item 5,"Close medical and wellness observation","المراقبة الطبية والرفاهية القريبة",
ProgramJourney,Phase 2,Closing,"This phase is about safety, support, and letting the body settle into a new rhythm.","هذه المرحلة تدور حول السلامة والدعم والسماح للجسم بالاستقرار في إيقاع جديد.",
ProgramJourney,Phase 3,Title,"Days 4–7 — Activation & Momentum","الأيام 4-7 — التنشيط والزخم",
ProgramJourney,Phase 3,Subtitle,"Where visible change often begins","حيث يبدأ التغيير المرئي غالبًا",
ProgramJourney,Phase 3,Item 1,"Increased metabolic efficiency","زيادة كفاءة التمثيل الغذائي",
ProgramJourney,Phase 3,Item 2,"Enhanced fat utilisation","تحسين استخدام الدهون",
ProgramJourney,Phase 3,Item 3,"Deeper detoxification response","استجابة أعمق لإزالة السموم",
ProgramJourney,Phase 3,Item 4,"Structured movement and biohacking therapies","الحركة المنظمة وعلاجات biohacking",
ProgramJourney,Phase 3,Item 5,"Many guests begin to notice clearer energy and early weight changes","يبدأ العديد من الضيوف في ملاحظة طاقة أوضح وتغييرات وزن مبكرة",
ProgramJourney,Phase 3,Closing,"For many, this is where motivation returns — naturally.","بالنسبة للكثيرين، هذا هو المكان الذي تعود فيه الدافعية — بشكل طبيعي.",
ProgramJourney,Phase 4,Title,"Days 8–14+ — Transformation Phase","الأيام 8-14+ — مرحلة التحول",
ProgramJourney,Phase 4,Subtitle,"Strengthening results (for longer stays)","تعزيز النتائج (للإقامات الأطول)",
ProgramJourney,Phase 4,Item 1,"Continued fat loss support","دعم فقدان الدهون المستمر",
ProgramJourney,Phase 4,Item 2,"Stabilisation of blood sugar and appetite signals","استقرار سكر الدم وإشارات الشهية",
ProgramJourney,Phase 4,Item 3,"Mental clarity and emotional balance deepen","يتعمق الوضوح العقلي والتوازن العاطفي",
ProgramJourney,Phase 4,Item 4,"Body adapts to sustainable patterns rather than short-term fixes","يتكيف الجسم مع الأنماط المستدامة بدلاً من الإصلاحات قصيرة المدى",
ProgramJourney,Phase 4,Closing,"Weight loss becomes a response, not a struggle.","يصبح فقدان الوزن استجابة، وليس صراعًا.",
ProgramJourney,Phase 5,Title,"Final Day — Integration & Preparation","اليوم الأخير — التكامل والتحضير",
ProgramJourney,Phase 5,Subtitle,"Leaving with clarity, not questions","المغادرة بوضوح، وليس بأسئلة",
ProgramJourney,Phase 5,Item 1,"Follow-up body composition and blood analysis","متابعة تكوين الجسم وتحليل الدم",
ProgramJourney,Phase 5,Item 2,"Medical and wellness check-out consultations","الاستشارات الطبية والرفاهية عند المغادرة",
ProgramJourney,Phase 5,Item 3,"Personalised guidance for life beyond the retreat","إرشاد مخصص للحياة بعد الاستجمام",
ProgramJourney,Phase 5,Item 4,"Lifestyle Companion App registration","تسجيل تطبيق رفيق نمط الحياة",
ProgramJourney,Phase 5,Item 5,"Post-program support and follow-up options","دعم ما بعد البرنامج وخيارات المتابعة",
ProgramJourney,Phase 5,Closing,"You leave with understanding — not just results.","تغادر بفهم — وليس فقط النتائج.",
ProgramJourney,Bottom Text,Text,"This is not a schedule — it's a guided physiological journey, supported at every stage.","هذا ليس برنامجًا — إنها رحلة فسيولوجية موجهة، مدعومة في كل مرحلة.",
HealingJourney,Section Title,Heading,"A Refined Journey of Care, Guided by Precision","رحلة رعاية مكررة، موجهة بالدقة",
HealingJourney,Section Description 1,Text,"Personalised care shaped by clinical insight and continuously refined through observation.","رعاية مخصصة تتشكل من خلال البصيرة السريرية ويتم تحسينها باستمرار من خلال المراقبة.",
HealingJourney,Section Description 2,Text,"Each layer of TheLifeCo Healing Journey serves a clear purpose. Together, they create the conditions your body needs to restore balance — safely, progressively, and in a way that lasts.","كل طبقة من رحلة الشفاء TheLifeCo تخدم غرضًا واضحًا. معًا، يخلقون الظروف التي يحتاجها جسمك لاستعادة التوازن — بأمان وتدريجيًا وبطريقة تدوم.",
HealingJourney,Layer 1,Title,"Environment That Allows the Body to Exhale","بيئة تسمح للجسم بالتنفس",
HealingJourney,Layer 1,Subtitle,"Relaxation & Supportive Setting","الاسترخاء والإعداد الداعم",
HealingJourney,Layer 1,Description,"Your surroundings are not incidental. A calm, restorative environment helps reduce stress and regulate the nervous system — an essential foundation for metabolic health and natural weight regulation.","محيطك ليس عرضيًا. تساعد البيئة الهادئة والتصالحية على تقليل التوتر وتنظيم الجهاز العصبي — أساس أساسي لصحة التمثيل الغذائي وتنظيم الوزن الطبيعي.",
HealingJourney,Layer 1,Closing,"Here, your body is given permission to slow down before it is asked to change.","هنا، يُمنح جسمك الإذن بالتباطؤ قبل أن يُطلب منه التغيير.",
HealingJourney,Layer 2,Title,"A Program Designed Around You","برنامج مصمم حولك",
HealingJourney,Layer 2,Subtitle,"Personalised Wellness Program","برنامج الرفاهية المخصص",
HealingJourney,Layer 2,Description,"Your program is shaped by a personal health assessment and refined throughout your stay. Nutrition, therapies, and daily structure are continuously adapted based on how your body responds.","يتم تشكيل برنامجك من خلال تقييم صحي شخصي ويتم تحسينه طوال إقامتك. يتم تكييف التغذية والعلاجات والهيكل اليومي باستمرار بناءً على كيفية استجابة جسمك.",
HealingJourney,Layer 2,Closing,"Weight reduction is supported alongside metabolic balance — without compromising strength, energy, or vitality.","يتم دعم تقليل الوزن إلى جانب التوازن الأيضي — دون المساس بالقوة أو الطاقة أو الحيوية.",
HealingJourney,Layer 3,Title,"Supporting the Mind Behind the Habits","دعم العقل وراء العادات",
HealingJourney,Layer 3,Subtitle,"Mental Resilience & Mindfulness","المرونة العقلية والوعي",
HealingJourney,Layer 3,Description,"Weight is influenced not only by physiology, but by stress, emotional patterns, and daily habits. Mindfulness practices and mental resilience support help you develop awareness and consistency, allowing calmer and more sustainable choices to emerge.","يتأثر الوزن ليس فقط بالفسيولوجيا، ولكن بالتوتر والأنماط العاطفية والعادات اليومية. تساعد ممارسات الوعي ودعم المرونة العقلية على تطوير الوعي والاتساق، مما يسمح بخيارات أكثر هدوءًا واستدامة بالظهور.",
HealingJourney,Layer 4,Title,"Integrative Medicine & Targeted Therapies","الطب التكاملي والعلاجات المستهدفة",
HealingJourney,Layer 4,Subtitle,"Medical & Biohacking Support","الدعم الطبي و Biohacking",
HealingJourney,Layer 4,Description,"Therapies are selected to support detoxification, circulation, recovery, and metabolic efficiency. These interventions work alongside nutritional and lifestyle adjustments, enhancing the body's ability to respond without force.","يتم اختيار العلاجات لدعم إزالة السموم والدورة الدموية والشفاء وكفاءة التمثيل الغذائي. تعمل هذه التدخلات جنبًا إلى جنب مع تعديلات التغذية ونمط الحياة، مما يعزز قدرة الجسم على الاستجابة دون قوة.",
HealingJourney,Layer 5,Title,"A Partnership That Lasts Beyond the Retreat","شراكة تستمر بعد الاستجمام",
HealingJourney,Layer 5,Subtitle,"Practices & Learnings to Take Home","الممارسات والتعلمات للعودة إلى المنزل",
HealingJourney,Layer 5,Description,"Education is an essential part of the journey. You leave with practical guidance and a personal toolbox of skills and practices you can apply in daily life — supported by an ongoing partnership that continues beyond your stay, enabling long-term balance in weight, blood sugar, and everyday habits once you return home.","التعليم جزء أساسي من الرحلة. تغادر بإرشاد عملي وصندوق أدوات شخصي للمهارات والممارسات التي يمكنك تطبيقها في الحياة اليومية — مدعومة بشراكة مستمرة تستمر بعد إقامتك، مما يتيح التوازن طويل المدى في الوزن وسكر الدم والعادات اليومية بمجرد عودتك إلى المنزل.",
HealingJourney,Layer 6,Title,"Restoration That Completes the Process","الاستعادة التي تكمل العملية",
HealingJourney,Layer 6,Subtitle,"Spa & Deep Recovery","سبا والشفاء العميق",
HealingJourney,Layer 6,Description,"Restorative treatments and spa experiences support physical recovery and deep relaxation. This final layer reinforces the body's capacity to reset, integrate change, and respond positively over time.","تدعم العلاجات التصالحية وتجارب السبا الشفاء الجسدي والاسترخاء العميق. تعزز هذه الطبقة الأخيرة قدرة الجسم على إعادة الضبط ودمج التغيير والاستجابة بشكل إيجابي بمرور الوقت.",
GuestExperience,Section Title,Heading,"What Guests Commonly Experience","ما يختبره الضيوف عادة",
GuestExperience,Item 1,Text,"Balanced weight reduction, achieved in a healthy way and time period","تقليل الوزن المتوازن، المحقق بطريقة صحية وفترة زمنية",
GuestExperience,Item 2,Text,"Elevated metabolic balance, often accompanied by better energy and vitality","توازن أيضي مرتفع، غالبًا ما يرافقه طاقة وحيوية أفضل",
GuestExperience,Item 3,Text,"Preservation of balanced diet that is recognized for its value","الحفاظ على نظام غذائي متوازن معترف بقيمته",
GuestExperience,Item 4,Text,"A psychological boost that comes as a reward for success","دفعة نفسية تأتي كمكافأة للنجاح",
GuestExperience,Item 5,Text,"Digestive and gastronomic rest while receiving nutrition","راحة هضمية ومعوية أثناء تلقي التغذية",
GuestExperience,Item 6,Text,"Reduced inflammation and improved cellular health","التهاب مخفض وصحة خلوية محسنة",
GuestExperience,Item 7,Text,"Better sleep quality and mental clarity","جودة نوم أفضل ووضوح عقلي",
GuestExperience,Item 8,Text,"Strengthened immune system function","وظيفة جهاز مناعي معززة",
GuestExperience,Footer Note,Text,"Results may vary depending on individual health circumstances and program selection","قد تختلف النتائج اعتمادًا على الظروف الصحية الفردية واختيار البرنامج",
Testimonials,Section Title,Heading,"Real experiences from those who visited Bodrum","شهادات: تجارب حقيقية من الذين زاروا بودروم",
Testimonials,Section Description,Text,"Hear from guests who have transformed their lives through TheLifeCo programs","استمع من الضيوف الذين حولوا حياتهم من خلال برامج TheLifeCo",
Testimonials,Testimonial 1,Name,"Lebanese Actress","ممثلة لبنانية",
Testimonials,Testimonial 1,Location,"Visited Bodrum in 2024","زارت بودروم في 2024",
Testimonials,Testimonial 1,Quote,"It really taught me so much about myself. I felt that I was doing it in a very safe environment — with a nutritionist following up with you, with people who knew what they were doing, in a very medical setting, and with programs that are suitable to help you detox.","لقد علمني هذا حقًا الكثير عن نفسي. شعرت أنني كنت أفعل ذلك في بيئة آمنة جدًا — مع أخصائي تغذية يتابعك، مع أشخاص يعرفون ما يفعلونه، في إعداد طبي جدًا، ومع برامج مناسبة لمساعدتك على إزالة السموم.",
Testimonials,Testimonial 1,Result,"Self-discovery, safe environment","تعلم الذاتي، بيئة آمنة",
Testimonials,Testimonial 2,Name,"Cecil","Cecil",
Testimonials,Testimonial 2,Location,"UK","المملكة المتحدة",
Testimonials,Testimonial 2,Quote,"I came to TheLifeCo Bodrum for one week, hoping for a change. By the end, my blood sugar levels were back in the normal range, and I'd lost 4 kilos. The program meals were incredible; fresh, filling salads that kept me satisfied all day. Next week, I'll have my online consultation with my dietitian here to keep the progress going. This has truly been life-changing.","جئت إلى TheLifeCo بودروم لمدة أسبوع واحد، آملاً في التغيير. بحلول النهاية، عادت مستويات السكر في الدم إلى المعدل الطبيعي، وفقدت 4 كيلوغرامات. كانت وجبات البرنامج لا تصدق؛ سلطات طازجة ومشبعة أبقتني راضيًا طوال اليوم. الأسبوع القادم، سأحصل على استشارة عبر الإنترنت مع أخصائي التغذية الخاص بي هنا للحفاظ على التقدم. لقد كان هذا حقًا محولًا للحياة.",
Testimonials,Testimonial 2,Result,"Lost 4 kilos, blood sugar normalized","فقدان 4 كيلوغرامات، عودة سكر الدم إلى طبيعته",
Testimonials,Bottom Text,Text,"Join over 40,000+ guests who have transformed their lives","انضم إلى أكثر من 40,000+ ضيفًا حولوا حياتهم",
VideoTestimonial,Section Title,Heading,"Testimonial: Real experiences from those who visited Bodrum","شهادات: تجارب حقيقية من الذين زاروا بودروم",
